Frame Number,Face Number,Prediction,Score
00:13,face11,focused,0.7074
00:13,face10,focused,0.6781
00:13,face8,focused,0.6345
00:13,face9,focused,0.5271
00:13,face1,focused,0.6498
00:13,face2,focused,0.6123
00:13,face3,focused,0.7576
00:13,face7,focused,0.5826
00:13,face6,focused,0.5761
00:13,face4,focused,0.6124
00:13,face5,not_focused,0.3793
00:10,face11,not_focused,0.3326
00:10,face10,not_focused,0.445
00:10,face8,focused,0.6399
00:10,face9,focused,0.6041
00:10,face1,focused,0.7153
00:10,face2,focused,0.5504
00:10,face3,focused,0.6381
00:10,face7,focused,0.7672
00:10,face6,focused,0.5164
00:10,face4,focused,0.7972
00:10,face5,focused,0.8122
